EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
6.1.1.21,2924,1557,4261,1362,2584,13493,12552,23426,2596,764,1192,1674,2276,4280,1188,2422
6.1.1.22,4067,7675,7306,6588,14108,35120,12072,7866,3843,4845,5301,7377,18300,2084,6439,9354
6.1.1.3,3006,15259,6337,6242,15789,32936,12666,8945,4153,6169,12674,8183,6994,2325,18583,11335
6.1.1.4,2439,7658,6906,5318,5023,19359,13520,10869,8593,9810,9637,11573,9200,15133,8065,16586
6.1.1.5,3942,14622,6952,13391,10073,14521,6620,19361,6333,5959,10415,6588,16905,24075,15947,12022
6.1.1.6,2632,4843,6875,3451,13878,4668,7771,9514,3259,4644,7688,6240,4941,964,10153,6990
6.1.1.7,2702,7321,6430,5261,18363,14210,27236,18621,5611,5801,7056,6903,25220,107833,23441,12409
6.1.1.9,1750,4127,4380,3846,6199,7941,5102,5966,1705,2668,5328,3232,21512,72319,5738,6305
6.1.2.1,92,6,177,64,0,1,0,15,0,0,0,30,0,1,18,0
6.2.1.-,228,364,812,237,1557,6495,276,1215,134,248,505,366,276,121,381,779
6.2.1.1,1,2,0,7,22,118,35,63,52,904,880,14,365,9,53,54
6.2.1.2,128,1075,345,246,4189,605,88,1121,76,487,948,285,1457,234,307,4028
6.2.1.20,0,0,0,0,0,0,0,0,99,29,947,0,0,1,13,340
6.2.1.22,1,9,20,44,0,22,48,100,19,4,59,60,32,1,0,35
6.2.1.26,0,0,6,1,51,2,0,16,0,0,0,0,0,0,0,0
6.2.1.3,2349,29727,2935,3713,3354,20860,3540,4401,2844,6215,6911,4377,6919,3150,4131,9679
6.2.1.30,569,2044,1580,1322,1014,1599,1056,1214,485,1232,1364,1275,923,98,1717,1316
6.2.1.5,132,184,16,131,0,6,8,146,58,0,6,132,1,1,161,60
6.3.1.1,1485,1104,2738,1669,1789,942,1550,2061,833,705,1317,1359,756,170,3340,1998
6.3.1.2,2008,4209,4090,3060,17707,6720,27772,23196,2865,2206,6264,3999,4655,4139,15400,9008
6.3.1.5,17,7,0,29,0,0,0,56,0,0,0,6,0,0,6,0
6.3.2.-,34,43,67,18,91,31,106,241,20,38,37,23,9,3,242,603
6.3.2.1,165,259,87,212,103,112,73,175,17,79,132,66,103,61,143,617
6.3.2.10,105,141,315,267,59,164,249,314,151,290,397,211,249,49,194,409
6.3.2.13,488,1942,663,599,248,585,579,671,543,211,733,729,876,143,1151,1603
6.3.2.17,100,669,171,134,802,554,167,127,73,192,453,230,170,30,240,496
6.3.2.2,19,10,3,5,10,8,5,17,2,3,9,5,4,4,5,3
6.3.2.3,19,10,3,5,10,8,5,17,2,3,9,5,4,4,5,3
6.3.2.4,1513,113,370,384,197,585,725,1043,972,913,793,1310,708,112,1192,1267
6.3.2.5,247,1220,987,592,970,1487,821,1078,245,500,1892,1237,483,95,299,1373
6.3.2.6,1020,1533,3093,1790,5320,2994,10197,3567,1310,1117,3921,2525,2819,401,9690,2250
6.3.2.8,687,1481,862,1039,455,1487,748,731,493,612,1311,578,738,131,531,2336
6.3.2.9,172,1779,443,394,273,674,330,457,447,408,720,2216,503,106,425,1074
6.3.3.1,635,1851,1854,899,4605,2895,12160,6987,942,1325,3599,1430,1231,257,1776,10942
6.3.3.2,5,0,2,23,0,2,1,5,7,2,4,8,11,2,16,16
6.3.3.3,3,55,5,4,1,28,6,1,8,9,44,7,12,3,50,164
6.3.4.13,613,1196,1089,1135,808,2669,1289,2588,1208,1315,2560,1699,811,164,1206,2161
6.3.4.14,180,1546,608,240,344,326,505,157,246,135,188,204,813,138,469,377
6.3.4.15,1,26,64,1,0,64,20,1,4,16,83,88,11,2,12,44
6.3.4.18,28,18,57,259,12,20,91,49,5,36,306,39,107,41,18,20
6.3.4.19,144,1973,332,437,44,2713,265,176,230,281,1385,270,792,79,186,982
6.3.4.2,1362,5282,2553,2798,2020,5172,3305,2632,1628,1564,4124,2674,5836,36345,10402,4337
6.3.4.20,60,115,55,102,14,69,31,61,21,53,24,15,35,25,219,9
6.3.4.21,971,1452,3059,1357,15656,1123,3516,4868,1467,923,1820,1626,1086,613,3495,6178
6.3.4.3,16079,10993,27384,20566,5216,7974,8959,10673,12988,8850,13448,21524,11268,2193,22483,15639
6.3.4.4,2098,4367,3846,3303,3072,5029,4253,4992,2539,2606,2296,3470,2679,1062,4948,5772
6.3.4.5,1903,2978,6047,2450,12249,3942,3683,6086,1865,1694,2848,2678,1563,692,3929,5213
6.3.5.-,137,200,256,241,5820,473,6987,4802,631,1413,3201,2995,23430,1057,3065,1475
6.3.5.1,991,4777,2088,2888,4048,5129,1770,3581,1089,1014,2254,2434,2782,2269,1846,3896
6.3.5.2,1629,5617,3344,2535,4303,4934,7650,6946,2664,2733,4833,3870,13871,36157,7154,4944
6.3.5.3,2837,9613,6355,5398,3652,21612,4618,13192,3510,10841,13122,8421,6135,873,4981,6955
6.3.5.4,361,132,895,123,403,375,823,729,408,184,269,586,701,19,480,372
6.3.5.5,2288,8047,5972,4149,8251,9906,10595,8306,2989,4821,9264,5332,6840,44710,6324,5703
6.3.5.7,62,126,158,170,210,74,38,148,358,332,444,165,547,17,72,567
6.4.1.1,7089,19418,19648,18085,14417,18473,7359,11838,7661,8113,15097,9474,7061,2543,8569,14031
6.4.1.2,502,2019,2125,777,470,874,950,456,406,546,1061,1504,1997,151,1281,479
6.4.1.3,5493,21330,9772,7566,4818,20792,9988,10480,6648,5722,18989,11107,11124,3109,5485,12057
6.4.1.7,15,127,59,218,4,112,49,501,82,62,17,41,9,74,429,205
6.5.1.-,60,475,292,206,16,17,57,103,38,177,1570,54,35,28,196,32
6.5.1.2,319,1216,741,958,2690,2156,839,1056,267,821,1145,383,3962,1920,720,2759
