EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
2.4.2.1,853,4791,8674,8311,8524,8635,1648,1279,866,1876,2280,1426,3173,877,2667,6396
2.4.2.10,3921,1156,4939,689,1038,1227,1441,1553,1241,1970,1170,2712,5043,4328,11417,2618
2.4.2.14,602,1800,2051,1108,1888,2606,1265,774,961,1200,1491,2473,2069,227,1684,1783
2.4.2.17,141,1443,298,419,493,974,1033,532,156,552,285,193,83,57,471,916
2.4.2.18,5,44,1,10,988,34,547,558,4,11,28,8,9,61,8,43
2.4.2.19,99,1053,283,496,780,799,101,1979,407,227,1705,1293,442,140,1710,27692
2.4.2.2,79,88,284,312,4,409,52,449,291,438,666,458,179,21,1224,1235
2.4.2.21,16,31,57,18,11,58,7,31,75,54,139,80,49,14,33,249
2.4.2.22,122,289,459,314,74,88,68,277,94,42,154,352,145,9,956,849
2.4.2.29,386,3592,15380,11876,3799,11271,2528,4525,9910,592,12764,812,17828,198,1067,11942
2.4.2.3,905,856,1001,556,2115,407,2985,2503,620,265,526,504,452,213,1348,1881
2.4.2.53,104,1558,154,432,831,1646,96,275,90,495,825,362,1046,178,391,1135
2.4.2.7,72,91,183,249,4,108,110,197,123,53,68,129,54,10,129,147
2.4.2.8,160,257,638,342,173,364,384,356,422,241,605,921,557,23,709,661
2.4.2.9,1402,929,1908,1578,1183,888,1551,1362,876,692,2016,2209,1377,919,1585,6228
2.4.99.-,429,223,1108,702,176,318,926,381,130,211,625,248,99,52,742,1540
2.4.99.12,42,224,108,184,31,413,92,69,15,108,83,61,284,8,93,335
2.4.99.16,44,5038,73,144,87,1197,156,1836,1,86,939,46,193,244,49,137
2.4.99.17,338,2491,2601,1113,3127,1860,499,602,458,815,2672,874,1451,604,853,4688
2.5.-.-,0,0,13,0,1,77,46,17,16,0,73,36,0,0,5,1
2.5.1.-,459,1128,1062,678,642,923,656,793,458,376,1944,880,427,269,1097,1056
2.5.1.1,72,21,215,29,56,57,28,67,124,30,57,155,98,15,204,202
2.5.1.10,166,91,256,60,63,80,58,100,139,158,117,1253,108,16,10871,350
2.5.1.101,1,219,32,78,0,0,7,0,0,0,0,0,0,0,0,0
2.5.1.15,109,785,127,199,23,609,107,85,54,191,312,90,278,22,120,653
2.5.1.16,46,201,117,189,16,503,208,978,202,47,580,427,23,5,340,3698
2.5.1.17,473,768,469,164,657,104,428,581,182,110,42,117,45,355,910,701
2.5.1.19,49,157,277,96,74,248,169,129,292,5817,468,194,291,21,390,807
2.5.1.29,179,520,720,911,240,677,132,212,303,1021,490,319,1761,83,527,1570
2.5.1.3,118,126,48,261,15,78,54,108,376,417,1056,855,954,53,289,101
2.5.1.30,18,84,20,72,47,72,5,52,0,6,0,6,1,0,4,5
2.5.1.31,24,7,245,7,0,0,14,12,0,6,8,143,10,0,18,11
